MONTH,Year,DISEASE,GENDER,NATIONALITY,AGE_GROUP,Detected Cases
12,2009,Nash,Male,Ucranian,40-49,1
01,2010,Heart disease,Male,Ucranian,40-49,2
01,2010,Diabetes,Male,Ucranian,40-49,2
01,2010,Obesity,Male,Ucranian,40-49,1
08,2013,CKD,Male,Israeli,40-49,7
04,2015,Diabetes,Male,Israeli,30-39,4
11,2019,Dyslipidemia,Female,Israeli,60-69,7
11,2015,CKD,Male,Russian,70+,2
11,2015,Heart disease,Male,Russian,70+,7
11,2015,Hypertension,Male,Russian,70+,2
02,2012,Nash,Female,Israeli,40-49,6
06,2013,Obesity,Female,Israeli,40-49,5
07,2009,Heart disease,Male,Ucranian,70+,7
01,2011,CKD,Male,Ucranian,70+,1
01,2011,Dyslipidemia,Male,Ucranian,70+,1
03,2015,Dyslipidemia,Male,Moldavian,70+,1
03,2015,Heart disease,Male,Moldavian,70+,2
02,2014,Diabetes,Female,Moroccan,30-39,1
02,2014,Obesity,Female,Moroccan,30-39,1
03,2015,CKD,Female,Moroccan,30-39,1
02,2016,Heart disease,Female,Moroccan,30-39,1
02,2016,Hypertension,Female,Moroccan,30-39,2
07,2017,Dyslipidemia,Female,Moroccan,30-39,1
02,2020,Obesity,Female,Israeli,20-29,3
02,2016,Diabetes,Female,Israeli,30-39,5
06,2010,Heart disease,Female,Israeli,40-49,2
07,2014,CKD,Female,Israeli,40-49,2
09,2009,Diabetes,Female,Israeli,30-39,12
06,2018,Hypertension,Female,Israeli,10-19,1
06,2018,Obesity,Female,Israeli,10-19,1
12,2018,CKD,Male,Azerbaijani,40-49,1
12,2018,Diabetes,Male,Azerbaijani,40-49,1
12,2018,Hypertension,Male,Azerbaijani,40-49,1
11,2019,Obesity,Male,Azerbaijani,40-49,1
04,2012,Diabetes,Female,Algerian,70+,3
04,2012,Heart disease,Female,Algerian,70+,2
05,2010,Dyslipidemia,Male,English,30-39,1
05,2010,Diabetes,Male,English,30-39,1
10,2019,Diabetes,Female,Bilorussian,50-59,1
06,2015,CKD,Male,Rumanian,70+,4
06,2015,Diabetes,Male,Rumanian,70+,2
06,2015,Hypertension,Male,Rumanian,70+,3
06,2015,Dyslipidemia,Male,Rumanian,70+,4
06,2015,Heart disease,Male,Rumanian,70+,4
04,2019,Hypertension,Female,Israeli,60-69,4
08,2012,Heart disease,Female,Israeli,40-49,8
12,2009,Nash,Female,Russian,70+,1
02,2015,Diabetes,Female,Bulgarian,70+,1
02,2015,CKD,Female,Bulgarian,70+,1
02,2015,Heart disease,Female,Bulgarian,70+,1
02,2015,Hypertension,Female,Bulgarian,70+,1
04,2014,CKD,Male,Moroccan,60-69,2
06,2014,Diabetes,Male,Moroccan,60-69,1
12,2011,CKD,Female,Israeli,40-49,2
01,2018,Obesity,Female,Tunisian,30-39,1
09,2018,Obesity,Female,Russian,40-49,1
02,2009,Diabetes,Female,Ethiopian,50-59,2
02,2009,Heart disease,Female,Ethiopian,50-59,1
07,2009,Dyslipidemia,Female,Ethiopian,50-59,1
05,2013,CKD,Female,Ethiopian,50-59,1
12,2013,Hypertension,Female,Ethiopian,50-59,1
02,2014,Diabetes,Female,Ethiopian,50-59,1
10,2016,Dyslipidemia,Female,Ethiopian,50-59,1
11,2009,Heart disease,Male,Ucranian,50-59,2
08,2014,Dyslipidemia,Female,Israeli,60-69,4
08,2018,Dyslipidemia,Male,Russian,60-69,3
08,2018,Diabetes,Male,Russian,60-69,4
08,2018,Hypertension,Male,Russian,60-69,1
05,2010,Diabetes,Male,Israeli,40-49,4
05,2011,Dyslipidemia,Female,Israeli,60-69,5
06,2015,CKD,Male,Iranian,60-69,1
07,2009,Diabetes,Female,Ucranian,30-39,1
07,2009,CKD,Female,Ucranian,30-39,1
07,2009,Hypertension,Female,Ucranian,30-39,1
04,2015,Hypertension,Female,Israeli,60-69,19
06,2020,Heart disease,Female,Israeli,70+,7
10,2018,Obesity,Female,Ucranian,40-49,1
10,2010,Diabetes,Female,Uzbek,40-49,1
04,2011,CKD,Female,Uzbek,40-49,1
04,2011,Dyslipidemia,Female,Uzbek,40-49,1
07,2016,Nash,Male,Israeli,70+,3
11,2012,CKD,Female,Israeli,30-39,6
11,2012,Hypertension,Female,Israeli,30-39,3
01,2017,CKD,Male,Israeli,40-49,4
06,2019,Hypertension,Male,Israeli,40-49,4
05,2013,CKD,Female,Israeli,20-29,2
05,2013,Nash,Female,Israeli,20-29,2
05,2014,Obesity,Female,Israeli,20-29,4
07,2020,Heart disease,Male,Ucranian,40-49,1
06,2017,Diabetes,Female,Israeli,70+,1
08,2018,Diabetes,Female,Ucranian,70+,5
08,2018,Nash,Female,Ucranian,70+,1
08,2018,Hypertension,Female,Ucranian,70+,4
10,2018,Heart disease,Female,Ucranian,70+,4
01,2019,Dyslipidemia,Male,Israeli,50-59,25
03,2010,Heart disease,Male,Israeli,70+,16
12,2018,Dyslipidemia,Female,Ethiopian,70+,4
12,2012,Dyslipidemia,Male,Israeli,60-69,33
08,2017,Dyslipidemia,Female,Israeli,20-29,3
01,2010,Diabetes,Male,French,70+,1
01,2010,Heart disease,Male,French,70+,1
03,2016,CKD,Female,Israeli,60-69,12
08,2018,Dyslipidemia,Male,Russian,50-59,2
08,2018,Obesity,Male,Russian,50-59,2
06,2009,Hypertension,Female,Russian,20-29,1
08,2013,Diabetes,Female,Israeli,60-69,8
08,2012,Nash,Female,Israeli,20-29,5
03,2016,Diabetes,Male,Israeli,60-69,8
10,2017,CKD,Male,Russian,50-59,1
09,2015,Heart disease,Female,Ucranian,70+,4
12,2016,Diabetes,Female,Israeli,70+,8
09,2018,Heart disease,Male,Moroccan,60-69,4
03,2019,Hypertension,Female,Israeli,20-29,1
06,2009,Obesity,Male,Moroccan,50-59,1
08,2018,Diabetes,Male,Israeli,30-39,3
06,2015,Diabetes,Male,Egyptian,70+,2
06,2010,Obesity,Female,Israeli,40-49,4
05,2009,CKD,Female,Ucranian,40-49,1
05,2009,Heart disease,Female,Ucranian,40-49,2
05,2009,Obesity,Female,Ucranian,40-49,1
06,2020,Heart disease,Male,Israeli,50-59,6
05,2012,Obesity,Male,Israeli,40-49,15
01,2009,Diabetes,Male,Iranian,50-59,2
02,2009,CKD,Male,Iranian,50-59,2
02,2009,Dyslipidemia,Male,Iranian,50-59,1
05,2009,Heart disease,Male,Iranian,50-59,1
04,2012,Heart disease,Male,Moroccan,70+,7
12,2012,Hypertension,Male,Israeli,40-49,9
08,2015,Dyslipidemia,Male,Russian,70+,4
08,2015,Obesity,Male,Russian,70+,1
10,2015,Hypertension,Male,Russian,70+,5
12,2018,Diabetes,Male,English,70+,1
12,2018,CKD,Male,English,70+,1
12,2018,Heart disease,Male,English,70+,1
07,2014,Dyslipidemia,Female,Moroccan,70+,1
04,2012,Diabetes,Male,Israeli,40-49,20
12,2015,Hypertension,Male,Israeli,30-39,3
12,2015,Heart disease,Male,Israeli,30-39,11
04,2018,Heart disease,Male,Israeli,20-29,3
10,2015,Diabetes,Male,Turkish,60-69,1
10,2015,Obesity,Male,Turkish,60-69,1
11,2018,Dyslipidemia,Male,Turkish,60-69,2
09,2018,Obesity,Female,Iranian,50-59,1
11,2017,Nash,Female,Israeli,60-69,5
03,2012,Hypertension,Female,Israeli,60-69,14
01,2016,Diabetes,Female,Israeli,60-69,9
06,2016,Heart disease,Male,Israeli,40-49,4
03,2017,Hypertension,Male,Israeli,40-49,4
07,2009,Dyslipidemia,Male,Israeli,40-49,18
06,2020,Dyslipidemia,Male,Israeli,40-49,5
06,2020,Heart disease,Male,Israeli,40-49,2
06,2020,Obesity,Male,Israeli,40-49,3
04,2018,CKD,Female,Israeli,30-39,7
04,2018,Heart disease,Female,Israeli,30-39,7
04,2019,Dyslipidemia,Female,Israeli,30-39,2
01,2016,CKD,Female,German,40-49,1
03,2016,Obesity,Female,German,40-49,1
09,2016,Dyslipidemia,Female,Israeli,30-39,1
07,2019,Dyslipidemia,Female,Israeli,40-49,4
07,2019,Heart disease,Female,Israeli,40-49,2
06,2009,CKD,Female,Ucranian,70+,6
06,2009,Diabetes,Female,Ucranian,70+,3
06,2009,Hypertension,Female,Ucranian,70+,6
07,2009,Heart disease,Female,Ucranian,70+,8
10,2017,Obesity,Male,Israeli,60-69,5
09,2017,CKD,Male,Ucranian,70+,1
09,2017,Dyslipidemia,Male,Ucranian,70+,1
09,2017,Diabetes,Male,Ucranian,70+,1
08,2009,Diabetes,Male,Georgian,60-69,1
08,2009,CKD,Male,Georgian,60-69,1
08,2009,Heart disease,Male,Georgian,60-69,1
08,2009,Hypertension,Male,Georgian,60-69,1
10,2018,CKD,Female,Iraqui,40-49,1
03,2014,CKD,Male,Israeli,60-69,13
11,2015,Nash,Male,Israeli,40-49,14
02,2012,Dyslipidemia,Male,Israeli,50-59,17
11,2018,Heart disease,Male,Israeli,40-49,22
04,2015,Dyslipidemia,Male,Ucranian,60-69,4
11,2015,CKD,Female,United States,70+,2
11,2015,Hypertension,Female,United States,70+,2
05,2018,Heart disease,Male,Bulgarian,70+,1
05,2018,Dyslipidemia,Male,Bulgarian,70+,1
05,2018,Diabetes,Male,Bulgarian,70+,1
05,2018,Obesity,Male,Bulgarian,70+,1
07,2016,Nash,Female,Uzbek,50-59,1
07,2009,Dyslipidemia,Male,United States,70+,2
06,2016,Obesity,Female,Egyptian,60-69,1
05,2021,CKD,Female,Egyptian,60-69,1
05,2021,Nash,Female,Egyptian,60-69,1
10,2015,Dyslipidemia,Female,Moroccan,60-69,2
11,2018,Dyslipidemia,Female,Ethiopian,50-59,1
05,2014,CKD,Female,Israeli,50-59,5
04,2012,Diabetes,Female,South African,30-39,1
04,2012,Hypertension,Female,South African,30-39,1
06,2015,Hypertension,Female,Israeli,20-29,3
02,2009,Obesity,Female,German,30-39,1
04,2017,Obesity,Male,Israeli,70+,3
11,2019,Obesity,Female,Moroccan,40-49,1
10,2012,Nash,Male,Israeli,40-49,3
08,2015,CKD,Male,Indu,50-59,1
03,2012,Diabetes,Male,Ucranian,60-69,2
03,2012,CKD,Male,Ucranian,60-69,1
03,2012,Heart disease,Male,Ucranian,60-69,5
03,2012,Hypertension,Male,Ucranian,60-69,1
06,2018,Dyslipidemia,Male,Azerbaijani,60-69,1
03,2015,Dyslipidemia,Female,Iraqui,70+,1
01,2016,CKD,Female,Iraqui,70+,1
01,2016,Heart disease,Female,Iraqui,70+,1
01,2016,Hypertension,Female,Iraqui,70+,1
12,2016,Obesity,Male,Egyptian,30-39,1
05,2018,Obesity,Male,Argentinian,60-69,1
11,2009,CKD,Male,Israeli,30-39,15
11,2009,Hypertension,Male,Israeli,30-39,6
11,2009,Dyslipidemia,Male,Israeli,30-39,8
10,2010,Diabetes,Male,Israeli,30-39,1
11,2012,Obesity,Male,Israeli,30-39,10
07,2016,CKD,Male,French,70+,1
01,2017,Heart disease,Male,French,70+,1
04,2009,Hypertension,Female,Israeli,30-39,7
01,2010,CKD,Female,Israeli,40-49,3
04,2010,Nash,Female,Israeli,40-49,1
03,2011,Obesity,Female,Israeli,30-39,4
12,2013,Dyslipidemia,Female,Israeli,50-59,5
12,2009,CKD,Male,Moroccan,60-69,3
12,2009,Dyslipidemia,Male,Moroccan,60-69,2
12,2009,Heart disease,Male,Moroccan,60-69,3
12,2009,Hypertension,Male,Moroccan,60-69,1
05,2018,Dyslipidemia,Female,French,70+,2
04,2020,CKD,Female,French,70+,1
10,2019,Dyslipidemia,Male,Polonian,60-69,1
10,2019,Diabetes,Male,Polonian,60-69,1
03,2017,Diabetes,Male,Israeli,50-59,3
01,2009,CKD,Male,Ethiopian,60-69,2
03,2015,Diabetes,Female,Argentinian,70+,2
03,2015,Heart disease,Female,Argentinian,70+,2
11,2018,CKD,Male,Israeli,30-39,11
11,2018,Nash,Male,Israeli,30-39,3
11,2018,Obesity,Male,Israeli,30-39,2
03,2017,CKD,Male,Israeli,70+,11
11,2015,Heart disease,Female,United States,70+,2
05,2019,Dyslipidemia,Female,Ethiopian,20-29,1
05,2019,Obesity,Female,Ethiopian,20-29,2
02,2009,Hypertension,Female,German,40-49,1
07,2018,CKD,Female,Israeli,30-39,4
11,2015,Nash,Female,Israeli,30-39,5
08,2010,Diabetes,Male,Israeli,30-39,2
02,2011,CKD,Male,Israeli,30-39,2
12,2012,Heart disease,Male,Israeli,30-39,5
12,2016,Dyslipidemia,Female,Russian,30-39,2
12,2016,Obesity,Female,Russian,30-39,1
01,2017,CKD,Female,Israeli,50-59,10
03,2013,Diabetes,Female,Israeli,60-69,7
07,2018,CKD,Male,Bulgarian,60-69,1
07,2018,Dyslipidemia,Male,Bulgarian,60-69,1
07,2018,Heart disease,Male,Bulgarian,60-69,1
07,2018,Hypertension,Male,Bulgarian,60-69,1
10,2009,Dyslipidemia,Male,Iranian,50-59,2
10,2009,Diabetes,Male,Iranian,50-59,1
07,2016,Obesity,Female,Moroccan,40-49,1
12,2016,Diabetes,Male,Rumanian,60-69,1
12,2016,Dyslipidemia,Male,Rumanian,60-69,1
12,2016,Heart disease,Male,Rumanian,60-69,1
07,2010,Diabetes,Male,French,50-59,1
02,2015,CKD,Male,Turkish,60-69,2
02,2015,Heart disease,Male,Turkish,60-69,3
02,2015,Hypertension,Male,Turkish,60-69,1
05,2019,Dyslipidemia,Male,Turkish,60-69,1
07,2018,Dyslipidemia,Female,Israeli,10-19,1
09,2014,Heart disease,Female,Moroccan,70+,1
02,2016,CKD,Female,Moroccan,70+,2
02,2016,Hypertension,Female,Moroccan,70+,1
03,2017,Dyslipidemia,Female,Moroccan,70+,2
03,2018,CKD,Male,Bulgarian,70+,1
03,2018,Heart disease,Male,Bulgarian,70+,2
03,2018,Hypertension,Male,Bulgarian,70+,1
06,2015,Diabetes,Male,Iraqui,70+,4
06,2015,CKD,Male,Iraqui,70+,2
06,2015,Dyslipidemia,Male,Iraqui,70+,2
06,2015,Heart disease,Male,Iraqui,70+,4
08,2016,Diabetes,Female,Israeli,40-49,3
08,2016,Hypertension,Female,Israeli,40-49,2
08,2016,Heart disease,Female,Israeli,40-49,3
03,2013,Dyslipidemia,Male,Israeli,40-49,1
09,2013,Obesity,Male,Israeli,40-49,7
10,2013,CKD,Male,Israeli,40-49,4
10,2013,Diabetes,Male,Israeli,40-49,4
10,2013,Hypertension,Male,Israeli,40-49,2
03,2019,CKD,Female,Ucranian,70+,2
03,2019,Heart disease,Female,Ucranian,70+,2
03,2019,Hypertension,Female,Ucranian,70+,2
01,2012,Hypertension,Female,Israeli,40-49,1
06,2014,Heart disease,Female,Israeli,40-49,3
02,2012,CKD,Male,Turkish,60-69,2
02,2017,Heart disease,Male,Turkish,60-69,1
06,2009,Heart disease,Female,Iraqui,70+,4
03,2016,Nash,Female,Israeli,60-69,3
04,2015,Diabetes,Female,Moroccan,70+,6
04,2015,Heart disease,Female,Moroccan,70+,11
04,2015,Obesity,Female,Moroccan,70+,4
04,2017,Dyslipidemia,Female,Moroccan,70+,2
01,2015,CKD,Male,United States,70+,4
01,2015,Heart disease,Male,United States,70+,5
01,2015,Hypertension,Male,United States,70+,2
07,2012,Dyslipidemia,Male,Israeli,40-49,14
03,2016,Diabetes,Female,Ucranian,30-39,1
03,2016,Obesity,Female,Ucranian,30-39,1
05,2012,CKD,Male,Libyan,50-59,1
05,2012,Diabetes,Male,Libyan,50-59,1
04,2018,Obesity,Male,Bilorussian,60-69,1
02,2020,Dyslipidemia,Male,Rumanian,70+,1
02,2020,Diabetes,Male,Rumanian,70+,1
09,2012,Nash,Female,Israeli,50-59,11
01,2012,Heart disease,Male,Israeli,10-19,1
07,2018,Heart disease,Male,Iranian,70+,3
10,2018,Dyslipidemia,Male,Iranian,70+,3
05,2009,CKD,Female,Rumanian,20-29,1
05,2009,Hypertension,Female,Rumanian,20-29,1
09,2012,CKD,Male,Moroccan,50-59,2
09,2012,Heart disease,Male,Moroccan,50-59,2
01,2016,Dyslipidemia,Male,Moroccan,50-59,1
01,2017,Diabetes,Female,Israeli,70+,7
11,2015,Dyslipidemia,Female,Iraqui,70+,1
11,2015,Heart disease,Female,Iraqui,70+,2
10,2018,Hypertension,Female,Israeli,50-59,10
12,2016,Diabetes,Female,Israeli,40-49,5
09,2012,Diabetes,Male,Argentinian,60-69,1
12,2014,Dyslipidemia,Male,Argentinian,60-69,1
12,2009,Heart disease,Female,Ethiopian,70+,9
12,2009,Obesity,Female,Ethiopian,70+,1
04,2010,CKD,Female,Ethiopian,70+,1
04,2010,Hypertension,Female,Ethiopian,70+,1
07,2012,Heart disease,Male,Libyan,50-59,1
01,2010,Diabetes,Male,Yemeni,70+,1
01,2010,CKD,Male,Yemeni,70+,1
01,2010,Hypertension,Male,Yemeni,70+,1
06,2014,Nash,Male,Yemeni,70+,1
08,2016,Heart disease,Male,Yemeni,70+,1
11,2018,Dyslipidemia,Male,Yemeni,70+,3
08,2012,CKD,Male,Israeli,30-39,5
04,2016,Hypertension,Female,Israeli,70+,23
02,2012,CKD,Male,Moroccan,50-59,1
02,2012,Dyslipidemia,Male,Moroccan,50-59,1
02,2012,Diabetes,Male,Moroccan,50-59,1
04,2014,Obesity,Male,Moroccan,50-59,1
10,2015,Nash,Male,Moroccan,50-59,2
04,2019,Obesity,Female,Bilorussian,20-29,1
02,2011,CKD,Female,Israeli,50-59,4
12,2020,Hypertension,Female,Israeli,50-59,2
02,2012,Nash,Male,Israeli,20-29,1
10,2009,Dyslipidemia,Male,Tunisian,50-59,2
07,2018,CKD,Male,Ucranian,30-39,1
07,2018,Dyslipidemia,Male,Ucranian,30-39,1
07,2018,Heart disease,Male,Ucranian,30-39,1
07,2018,Hypertension,Male,Ucranian,30-39,1
09,2010,Heart disease,Female,French,30-39,1
09,2015,Obesity,Female,Rumanian,50-59,3
11,2018,Nash,Male,Israeli,40-49,4
12,2018,Dyslipidemia,Male,Argentinian,60-69,2
12,2018,Nash,Male,Argentinian,60-69,1
10,2009,Heart disease,Female,Moroccan,60-69,4
11,2012,Hypertension,Female,Israeli,50-59,7
02,2013,Diabetes,Female,Israeli,50-59,9
05,2012,Heart disease,Female,Libyan,60-69,1
02,2019,Diabetes,Male,Israeli,70+,8
03,2018,CKD,Male,Turkish,30-39,1
03,2018,Heart disease,Male,Turkish,30-39,1
03,2018,Obesity,Male,Turkish,30-39,1
02,2021,Heart disease,Female,Israeli,70+,1
11,2009,Diabetes,Male,French,70+,3
11,2009,CKD,Male,French,70+,3
11,2009,Heart disease,Male,French,70+,4
11,2009,Hypertension,Male,French,70+,2
05,2016,Diabetes,Female,Israeli,70+,3
08,2009,Diabetes,Female,Israeli,10-19,1
01,2020,Heart disease,Female,Israeli,50-59,4
01,2020,Obesity,Female,Israeli,50-59,5
01,2020,Nash,Female,Israeli,50-59,3
07,2010,CKD,Female,Israeli,60-69,9
07,2010,Hypertension,Female,Israeli,60-69,3
09,2011,Obesity,Female,Israeli,60-69,4
10,2013,Heart disease,Female,Israeli,60-69,10
11,2018,CKD,Female,French,70+,3
11,2018,Diabetes,Female,French,70+,2
11,2018,Hypertension,Female,French,70+,2
11,2018,Dyslipidemia,Female,French,70+,5
11,2018,Heart disease,Female,French,70+,3
02,2009,Diabetes,Female,Hungarian,70+,2
02,2009,CKD,Female,Hungarian,70+,2
02,2009,Heart disease,Female,Hungarian,70+,3
05,2020,Dyslipidemia,Male,Rumanian,30-39,1
05,2020,Heart disease,Male,Rumanian,30-39,1
05,2020,Nash,Male,Rumanian,30-39,1
05,2020,Hypertension,Male,Rumanian,30-39,1
02,2010,CKD,Male,Israeli,60-69,15
03,2010,Hypertension,Male,Israeli,60-69,8
08,2009,CKD,Female,Polonian,70+,2
08,2009,Diabetes,Female,Polonian,70+,1
08,2009,Hypertension,Female,Polonian,70+,2
05,2012,Dyslipidemia,Male,Moroccan,70+,1
05,2012,Diabetes,Male,Moroccan,70+,2
05,2012,Obesity,Male,Moroccan,70+,2
07,2009,Diabetes,Female,Israeli,20-29,7
07,2021,Obesity,Female,Moroccan,30-39,1
06,2011,CKD,Female,Georgian,70+,1
06,2011,Hypertension,Female,Georgian,70+,1
06,2012,Heart disease,Female,Georgian,70+,1
04,2019,Obesity,Male,Israeli,60-69,5
12,2012,Diabetes,Male,Algerian,60-69,2
12,2012,CKD,Male,Algerian,60-69,1
12,2012,Hypertension,Male,Algerian,60-69,1
12,2012,Obesity,Male,Algerian,60-69,1
10,2019,Dyslipidemia,Male,Algerian,60-69,1
06,2021,CKD,Female,Israeli,70+,2
06,2021,Heart disease,Female,Israeli,70+,2
06,2021,Diabetes,Female,Israeli,70+,1
06,2021,Hypertension,Female,Israeli,70+,1
07,2013,Hypertension,Male,Israeli,50-59,6
07,2014,Nash,Male,Israeli,60-69,3
05,2009,Obesity,Male,Israeli,70+,12
11,2015,Diabetes,Male,Georgian,70+,1
11,2015,Heart disease,Male,Georgian,70+,2
01,2015,CKD,Female,Russian,70+,7
01,2015,Heart disease,Female,Russian,70+,11
01,2015,Hypertension,Female,Russian,70+,4
02,2018,Diabetes,Female,Israeli,20-29,4
01,2020,Dyslipidemia,Female,Ucranian,60-69,1
01,2020,Nash,Female,Ucranian,60-69,1
08,2015,Diabetes,Female,Algerian,30-39,1
08,2015,Hypertension,Female,Algerian,30-39,1
08,2015,Obesity,Female,Algerian,30-39,1
07,2013,Obesity,Female,Israeli,30-39,4
05,2014,Diabetes,Male,Russian,70+,1
05,2014,Heart disease,Male,Russian,70+,1
12,2018,Dyslipidemia,Female,Ethiopian,60-69,2
12,2018,Heart disease,Female,Ethiopian,60-69,1
03,2016,Diabetes,Female,Israeli,50-59,7
02,2017,Dyslipidemia,Male,Iranian,30-39,1
02,2018,Dyslipidemia,Male,Indu,70+,1
02,2018,Heart disease,Male,Indu,70+,1
01,2012,Heart disease,Male,Moroccan,70+,10
04,2020,Nash,Female,Israeli,50-59,1
04,2020,Obesity,Female,Israeli,50-59,4
12,2018,Dyslipidemia,Female,Iranian,60-69,1
05,2015,Heart disease,Female,Israeli,30-39,3
01,2020,Nash,Male,Israeli,50-59,3
02,2014,Hypertension,Male,Israeli,50-59,9
01,2018,Diabetes,Female,Azerbaijani,70+,1
01,2018,Heart disease,Female,Azerbaijani,70+,1
01,2012,CKD,Male,United States,60-69,2
01,2012,Diabetes,Male,United States,60-69,1
01,2012,Hypertension,Male,United States,60-69,1
01,2012,Obesity,Male,United States,60-69,1
01,2012,Heart disease,Male,United States,60-69,1
02,2016,Dyslipidemia,Male,United States,60-69,3
05,2015,Diabetes,Female,Israeli,50-59,25
03,2017,Obesity,Female,Israeli,70+,11
11,2013,Hypertension,Female,Israeli,70+,9
06,2015,Nash,Female,Israeli,50-59,9
01,2016,Hypertension,Male,Israeli,50-59,13
12,2016,Nash,Male,Israeli,50-59,8
01,2013,CKD,Female,Israeli,40-49,4
09,2018,Nash,Female,Israeli,30-39,6
11,2017,CKD,Female,Israeli,50-59,6
10,2015,CKD,Male,English,40-49,1
10,2015,Heart disease,Male,English,40-49,1
10,2015,Hypertension,Male,English,40-49,1
10,2015,Obesity,Male,English,40-49,1
05,2010,CKD,Male,Ucranian,40-49,2
09,2016,Hypertension,Male,Ucranian,40-49,1
09,2019,Obesity,Male,Ucranian,40-49,1
11,2016,Dyslipidemia,Female,Iraqui,70+,2
11,2009,Diabetes,Female,Russian,70+,6
08,2016,Diabetes,Female,Israeli,70+,8
08,2016,Obesity,Female,Israeli,70+,6
05,2017,CKD,Male,Israeli,70+,12
01,2021,Dyslipidemia,Female,Israeli,50-59,2
02,2012,Diabetes,Male,Algerian,70+,5
02,2012,Heart disease,Male,Algerian,70+,6
03,2012,CKD,Male,Algerian,70+,1
03,2012,Hypertension,Male,Algerian,70+,1
03,2012,Dyslipidemia,Male,Algerian,70+,1
04,2014,Obesity,Female,Israeli,40-49,5
01,2015,Diabetes,Male,Ucranian,60-69,3
01,2015,Dyslipidemia,Male,Ucranian,60-69,4
01,2015,Heart disease,Male,Ucranian,60-69,5
02,2009,Heart disease,Female,Yemeni,70+,1
06,2015,Hypertension,Male,Israeli,20-29,2
01,2018,Diabetes,Male,Israeli,20-29,3
04,2019,Diabetes,Female,United States,30-39,1
07,2019,Dyslipidemia,Female,Israeli,50-59,10
01,2019,Heart disease,Female,French,10-19,1
02,2011,Heart disease,Female,Israeli,60-69,11
05,2009,Heart disease,Female,Moldavian,70+,2
07,2010,Diabetes,Female,Moldavian,70+,1
07,2010,CKD,Female,Moldavian,70+,2
07,2010,Hypertension,Female,Moldavian,70+,1
01,2011,Dyslipidemia,Female,Moldavian,70+,1
10,2012,Heart disease,Male,Ethiopian,50-59,3
04,2009,Diabetes,Female,Russian,70+,2
09,2015,Obesity,Female,French,40-49,1
08,2015,Dyslipidemia,Male,Ucranian,50-59,3
11,2012,Diabetes,Female,Indu,70+,1
11,2012,Heart disease,Female,Indu,70+,1
01,2013,Dyslipidemia,Female,Indu,70+,1
04,2015,Obesity,Female,Israeli,20-29,6
03,2012,Heart disease,Male,Ethiopian,60-69,1
08,2018,CKD,Male,Ethiopian,60-69,5
08,2018,Dyslipidemia,Male,Ethiopian,60-69,3
09,2018,Nash,Male,Ethiopian,60-69,1
04,2013,Nash,Female,United States,40-49,1
12,2012,Heart disease,Female,Israeli,30-39,3
08,2018,Dyslipidemia,Male,German,60-69,1
10,2018,CKD,Male,German,60-69,1
10,2018,Heart disease,Male,German,60-69,1
10,2018,Hypertension,Male,German,60-69,1
08,2015,CKD,Male,Rumanian,50-59,1
08,2015,Nash,Male,Rumanian,50-59,1
10,2011,CKD,Female,Israeli,40-49,7
10,2014,Obesity,Female,Polonian,30-39,1
01,2010,Dyslipidemia,Male,Russian,50-59,2
03,2015,Diabetes,Male,Israeli,40-49,17
03,2015,CKD,Male,Israeli,40-49,18
12,2019,Diabetes,Female,United States,40-49,1
08,2017,Hypertension,Female,Israeli,70+,19
01,2017,Heart disease,Male,Israeli,40-49,6
10,2017,Dyslipidemia,Male,Israeli,40-49,6
10,2017,Nash,Male,Israeli,40-49,5
08,2015,Obesity,Male,United States,60-69,3
11,2020,CKD,Male,United States,60-69,1
11,2020,Dyslipidemia,Male,United States,60-69,1
11,2020,Heart disease,Male,United States,60-69,1
11,2020,Hypertension,Male,United States,60-69,1
08,2012,Obesity,Male,Israeli,70+,29
03,2016,Obesity,Male,Israeli,70+,8
05,2016,Nash,Male,Israeli,70+,3
05,2013,CKD,Female,Israeli,60-69,10
06,2019,Diabetes,Female,Israeli,40-49,4
06,2019,Obesity,Female,Israeli,40-49,3
02,2013,CKD,Female,Tunisian,60-69,1
07,2009,Diabetes,Female,French,70+,1
06,2015,Hypertension,Female,Israeli,30-39,6
08,2012,Dyslipidemia,Male,Moroccan,60-69,3
08,2012,Diabetes,Male,Moroccan,60-69,3
10,2012,Dyslipidemia,Male,Israeli,40-49,11
04,2018,CKD,Male,Israeli,10-19,1
03,2015,Dyslipidemia,Female,Moroccan,70+,4
03,2015,Diabetes,Female,Moroccan,70+,8
11,2012,CKD,Female,Argentinian,60-69,1
11,2012,Dyslipidemia,Female,Argentinian,60-69,1
11,2012,Diabetes,Female,Argentinian,60-69,1
11,2012,Obesity,Female,Argentinian,60-69,1
12,2009,Obesity,Female,Israeli,20-29,10
08,2017,Dyslipidemia,Male,Moroccan,60-69,1
06,2009,Heart disease,Female,Russian,70+,3
07,2012,CKD,Female,Israeli,30-39,12
07,2012,Nash,Female,Israeli,30-39,5
08,2018,Dyslipidemia,Male,Moroccan,50-59,5
08,2018,Heart disease,Male,Moroccan,50-59,2
11,2009,Diabetes,Female,Ucranian,70+,3
04,2014,CKD,Female,Ucranian,70+,2
12,2012,Dyslipidemia,Female,Moroccan,50-59,1
11,2012,Diabetes,Male,Israeli,30-39,3
07,2009,Heart disease,Female,Russian,50-59,2
10,2015,Nash,Female,Ethiopian,70+,1
