month,year,disease,nationality,counts,cumulative sum,monthyear,yearquarter,bianual
02,2017,Dyslipidemia,English,1,80,2017-02-01,2017 Q1,2016-2017
03,2017,Dyslipidemia,English,1,81,2017-03-01,2017 Q1,2016-2017
04,2017,Dyslipidemia,English,2,83,2017-04-01,2017 Q1,2016-2017
05,2017,Dyslipidemia,English,2,85,2017-05-01,2017 Q2,2016-2017
06,2017,Dyslipidemia,English,1,86,2017-06-01,2017 Q2,2016-2017
07,2017,Dyslipidemia,English,1,87,2017-07-01,2017 Q2,2016-2017
08,2017,Dyslipidemia,English,1,88,2017-08-01,2017 Q2,2016-2017
09,2017,Dyslipidemia,English,1,89,2017-09-01,2017 Q3,2016-2017
10,2017,Dyslipidemia,English,3,92,2017-10-01,2017 Q3,2016-2017
01,2018,Dyslipidemia,English,5,97,2018-01-01,2018 Q1,2018-2019
02,2018,Dyslipidemia,English,3,100,2018-02-01,2018 Q1,2018-2019
03,2018,Dyslipidemia,English,7,107,2018-03-01,2018 Q1,2018-2019
04,2018,Dyslipidemia,English,4,111,2018-04-01,2018 Q1,2018-2019
05,2018,Dyslipidemia,English,3,114,2018-05-01,2018 Q2,2018-2019
06,2018,Dyslipidemia,English,2,116,2018-06-01,2018 Q2,2018-2019
07,2018,Dyslipidemia,English,2,118,2018-07-01,2018 Q2,2018-2019
08,2018,Dyslipidemia,English,3,121,2018-08-01,2018 Q2,2018-2019
09,2018,Dyslipidemia,English,5,126,2018-09-01,2018 Q3,2018-2019
10,2018,Dyslipidemia,English,1,127,2018-10-01,2018 Q3,2018-2019
11,2018,Dyslipidemia,English,2,129,2018-11-01,2018 Q3,2018-2019
12,2018,Dyslipidemia,English,2,131,2018-12-01,2018 Q3,2018-2019
04,2019,Dyslipidemia,English,1,132,2019-04-01,2019 Q1,2018-2019
06,2019,Dyslipidemia,English,1,133,2019-06-01,2019 Q2,2018-2019
03,2020,Dyslipidemia,English,1,134,2020-03-01,2020 Q1,2020-2021
07,2020,Dyslipidemia,English,1,135,2020-07-01,2020 Q2,2020-2021
09,2020,Dyslipidemia,English,1,136,2020-09-01,2020 Q3,2020-2021
01,2009,Heart disease,English,4,4,2009-01-01,2009 Q1,2008-2009
02,2009,Heart disease,English,6,10,2009-02-01,2009 Q1,2008-2009
03,2009,Heart disease,English,3,13,2009-03-01,2009 Q1,2008-2009
04,2009,Heart disease,English,10,23,2009-04-01,2009 Q1,2008-2009
05,2009,Heart disease,English,5,28,2009-05-01,2009 Q2,2008-2009
06,2009,Heart disease,English,4,32,2009-06-01,2009 Q2,2008-2009
07,2009,Heart disease,English,7,39,2009-07-01,2009 Q2,2008-2009
08,2009,Heart disease,English,6,45,2009-08-01,2009 Q2,2008-2009
09,2009,Heart disease,English,4,49,2009-09-01,2009 Q3,2008-2009
10,2009,Heart disease,English,7,56,2009-10-01,2009 Q3,2008-2009
11,2009,Heart disease,English,2,58,2009-11-01,2009 Q3,2008-2009
12,2009,Heart disease,English,5,63,2009-12-01,2009 Q3,2008-2009
06,2010,Heart disease,English,1,64,2010-06-01,2010 Q2,2010-2011
12,2010,Heart disease,English,1,65,2010-12-01,2010 Q3,2010-2011
02,2011,Heart disease,English,1,66,2011-02-01,2011 Q1,2010-2011
09,2011,Heart disease,English,1,67,2011-09-01,2011 Q3,2010-2011
10,2011,Heart disease,English,1,68,2011-10-01,2011 Q3,2010-2011
01,2012,Heart disease,English,2,70,2012-01-01,2012 Q1,2012-2013
02,2012,Heart disease,English,4,74,2012-02-01,2012 Q1,2012-2013
03,2012,Heart disease,English,7,81,2012-03-01,2012 Q1,2012-2013
04,2012,Heart disease,English,4,85,2012-04-01,2012 Q1,2012-2013
05,2012,Heart disease,English,7,92,2012-05-01,2012 Q2,2012-2013
06,2012,Heart disease,English,5,97,2012-06-01,2012 Q2,2012-2013
07,2012,Heart disease,English,3,100,2012-07-01,2012 Q2,2012-2013
08,2012,Heart disease,English,4,104,2012-08-01,2012 Q2,2012-2013
09,2012,Heart disease,English,2,106,2012-09-01,2012 Q3,2012-2013
10,2012,Heart disease,English,1,107,2012-10-01,2012 Q3,2012-2013
11,2012,Heart disease,English,4,111,2012-11-01,2012 Q3,2012-2013
12,2012,Heart disease,English,3,114,2012-12-01,2012 Q3,2012-2013
01,2013,Heart disease,English,1,115,2013-01-01,2013 Q1,2012-2013
04,2013,Heart disease,English,2,117,2013-04-01,2013 Q1,2012-2013
05,2013,Heart disease,English,1,118,2013-05-01,2013 Q2,2012-2013
11,2013,Heart disease,English,1,119,2013-11-01,2013 Q3,2012-2013
02,2014,Heart disease,English,1,120,2014-02-01,2014 Q1,2014-2015
04,2014,Heart disease,English,1,121,2014-04-01,2014 Q1,2014-2015
05,2014,Heart disease,English,1,122,2014-05-01,2014 Q2,2014-2015
06,2014,Heart disease,English,1,123,2014-06-01,2014 Q2,2014-2015
11,2014,Heart disease,English,1,124,2014-11-01,2014 Q3,2014-2015
01,2015,Heart disease,English,7,131,2015-01-01,2015 Q1,2014-2015
02,2015,Heart disease,English,2,133,2015-02-01,2015 Q1,2014-2015
03,2015,Heart disease,English,3,136,2015-03-01,2015 Q1,2014-2015
04,2015,Heart disease,English,2,138,2015-04-01,2015 Q1,2014-2015
05,2015,Heart disease,English,13,151,2015-05-01,2015 Q2,2014-2015
06,2015,Heart disease,English,4,155,2015-06-01,2015 Q2,2014-2015
07,2015,Heart disease,English,3,158,2015-07-01,2015 Q2,2014-2015
08,2015,Heart disease,English,5,163,2015-08-01,2015 Q2,2014-2015
09,2015,Heart disease,English,1,164,2015-09-01,2015 Q3,2014-2015
10,2015,Heart disease,English,1,165,2015-10-01,2015 Q3,2014-2015
11,2015,Heart disease,English,4,169,2015-11-01,2015 Q3,2014-2015
12,2015,Heart disease,English,1,170,2015-12-01,2015 Q3,2014-2015
03,2016,Heart disease,English,1,171,2016-03-01,2016 Q1,2016-2017
05,2016,Heart disease,English,1,172,2016-05-01,2016 Q2,2016-2017
07,2016,Heart disease,English,1,173,2016-07-01,2016 Q2,2016-2017
08,2016,Heart disease,English,1,174,2016-08-01,2016 Q2,2016-2017
09,2016,Heart disease,English,1,175,2016-09-01,2016 Q3,2016-2017
10,2016,Heart disease,English,1,176,2016-10-01,2016 Q3,2016-2017
11,2016,Heart disease,English,1,177,2016-11-01,2016 Q3,2016-2017
01,2017,Heart disease,English,1,178,2017-01-01,2017 Q1,2016-2017
05,2017,Heart disease,English,1,179,2017-05-01,2017 Q2,2016-2017
09,2017,Heart disease,English,1,180,2017-09-01,2017 Q3,2016-2017
10,2017,Heart disease,English,2,182,2017-10-01,2017 Q3,2016-2017
01,2018,Heart disease,English,5,187,2018-01-01,2018 Q1,2018-2019
02,2018,Heart disease,English,5,192,2018-02-01,2018 Q1,2018-2019
03,2018,Heart disease,English,7,199,2018-03-01,2018 Q1,2018-2019
04,2018,Heart disease,English,2,201,2018-04-01,2018 Q1,2018-2019
05,2018,Heart disease,English,1,202,2018-05-01,2018 Q2,2018-2019
06,2018,Heart disease,English,5,207,2018-06-01,2018 Q2,2018-2019
07,2018,Heart disease,English,5,212,2018-07-01,2018 Q2,2018-2019
08,2018,Heart disease,English,5,217,2018-08-01,2018 Q2,2018-2019
09,2018,Heart disease,English,5,222,2018-09-01,2018 Q3,2018-2019
10,2018,Heart disease,English,1,223,2018-10-01,2018 Q3,2018-2019
12,2018,Heart disease,English,1,224,2018-12-01,2018 Q3,2018-2019
04,2019,Heart disease,English,1,225,2019-04-01,2019 Q1,2018-2019
06,2019,Heart disease,English,1,226,2019-06-01,2019 Q2,2018-2019
07,2020,Heart disease,English,1,227,2020-07-01,2020 Q2,2020-2021
09,2020,Heart disease,English,1,228,2020-09-01,2020 Q3,2020-2021
01,2009,Hypertension,English,9,9,2009-01-01,2009 Q1,2008-2009
02,2009,Hypertension,English,7,16,2009-02-01,2009 Q1,2008-2009
03,2009,Hypertension,English,5,21,2009-03-01,2009 Q1,2008-2009
04,2009,Hypertension,English,10,31,2009-04-01,2009 Q1,2008-2009
05,2009,Hypertension,English,4,35,2009-05-01,2009 Q2,2008-2009
06,2009,Hypertension,English,7,42,2009-06-01,2009 Q2,2008-2009
07,2009,Hypertension,English,6,48,2009-07-01,2009 Q2,2008-2009
08,2009,Hypertension,English,7,55,2009-08-01,2009 Q2,2008-2009
09,2009,Hypertension,English,8,63,2009-09-01,2009 Q3,2008-2009
10,2009,Hypertension,English,6,69,2009-10-01,2009 Q3,2008-2009
11,2009,Hypertension,English,8,77,2009-11-01,2009 Q3,2008-2009
12,2009,Hypertension,English,12,89,2009-12-01,2009 Q3,2008-2009
03,2010,Hypertension,English,1,90,2010-03-01,2010 Q1,2010-2011
04,2010,Hypertension,English,2,92,2010-04-01,2010 Q1,2010-2011
06,2010,Hypertension,English,1,93,2010-06-01,2010 Q2,2010-2011
07,2010,Hypertension,English,1,94,2010-07-01,2010 Q2,2010-2011
10,2010,Hypertension,English,2,96,2010-10-01,2010 Q3,2010-2011
01,2011,Hypertension,English,1,97,2011-01-01,2011 Q1,2010-2011
05,2011,Hypertension,English,1,98,2011-05-01,2011 Q2,2010-2011
08,2011,Hypertension,English,1,99,2011-08-01,2011 Q2,2010-2011
11,2011,Hypertension,English,1,100,2011-11-01,2011 Q3,2010-2011
12,2011,Hypertension,English,1,101,2011-12-01,2011 Q3,2010-2011
01,2012,Hypertension,English,3,104,2012-01-01,2012 Q1,2012-2013
02,2012,Hypertension,English,6,110,2012-02-01,2012 Q1,2012-2013
03,2012,Hypertension,English,10,120,2012-03-01,2012 Q1,2012-2013
04,2012,Hypertension,English,5,125,2012-04-01,2012 Q1,2012-2013
05,2012,Hypertension,English,7,132,2012-05-01,2012 Q2,2012-2013
06,2012,Hypertension,English,8,140,2012-06-01,2012 Q2,2012-2013
07,2012,Hypertension,English,1,141,2012-07-01,2012 Q2,2012-2013
08,2012,Hypertension,English,10,151,2012-08-01,2012 Q2,2012-2013
09,2012,Hypertension,English,3,154,2012-09-01,2012 Q3,2012-2013
10,2012,Hypertension,English,2,156,2012-10-01,2012 Q3,2012-2013
11,2012,Hypertension,English,5,161,2012-11-01,2012 Q3,2012-2013
12,2012,Hypertension,English,7,168,2012-12-01,2012 Q3,2012-2013
01,2013,Hypertension,English,1,169,2013-01-01,2013 Q1,2012-2013
06,2013,Hypertension,English,1,170,2013-06-01,2013 Q2,2012-2013
07,2013,Hypertension,English,1,171,2013-07-01,2013 Q2,2012-2013
02,2014,Hypertension,English,2,173,2014-02-01,2014 Q1,2014-2015
04,2014,Hypertension,English,1,174,2014-04-01,2014 Q1,2014-2015
05,2014,Hypertension,English,1,175,2014-05-01,2014 Q2,2014-2015
06,2014,Hypertension,English,1,176,2014-06-01,2014 Q2,2014-2015
07,2014,Hypertension,English,2,178,2014-07-01,2014 Q2,2014-2015
01,2015,Hypertension,English,8,186,2015-01-01,2015 Q1,2014-2015
02,2015,Hypertension,English,3,189,2015-02-01,2015 Q1,2014-2015
03,2015,Hypertension,English,3,192,2015-03-01,2015 Q1,2014-2015
04,2015,Hypertension,English,4,196,2015-04-01,2015 Q1,2014-2015
05,2015,Hypertension,English,6,202,2015-05-01,2015 Q2,2014-2015
06,2015,Hypertension,English,5,207,2015-06-01,2015 Q2,2014-2015
07,2015,Hypertension,English,3,210,2015-07-01,2015 Q2,2014-2015
08,2015,Hypertension,English,2,212,2015-08-01,2015 Q2,2014-2015
09,2015,Hypertension,English,2,214,2015-09-01,2015 Q3,2014-2015
10,2015,Hypertension,English,4,218,2015-10-01,2015 Q3,2014-2015
11,2015,Hypertension,English,3,221,2015-11-01,2015 Q3,2014-2015
12,2015,Hypertension,English,3,224,2015-12-01,2015 Q3,2014-2015
06,2016,Hypertension,English,2,226,2016-06-01,2016 Q2,2016-2017
10,2016,Hypertension,English,1,227,2016-10-01,2016 Q3,2016-2017
11,2016,Hypertension,English,1,228,2016-11-01,2016 Q3,2016-2017
02,2017,Hypertension,English,1,229,2017-02-01,2017 Q1,2016-2017
03,2017,Hypertension,English,1,230,2017-03-01,2017 Q1,2016-2017
05,2017,Hypertension,English,1,231,2017-05-01,2017 Q2,2016-2017
07,2017,Hypertension,English,1,232,2017-07-01,2017 Q2,2016-2017
01,2018,Hypertension,English,4,236,2018-01-01,2018 Q1,2018-2019
02,2018,Hypertension,English,4,240,2018-02-01,2018 Q1,2018-2019
03,2018,Hypertension,English,6,246,2018-03-01,2018 Q1,2018-2019
04,2018,Hypertension,English,3,249,2018-04-01,2018 Q1,2018-2019
05,2018,Hypertension,English,4,253,2018-05-01,2018 Q2,2018-2019
06,2018,Hypertension,English,5,258,2018-06-01,2018 Q2,2018-2019
07,2018,Hypertension,English,4,262,2018-07-01,2018 Q2,2018-2019
08,2018,Hypertension,English,4,266,2018-08-01,2018 Q2,2018-2019
09,2018,Hypertension,English,6,272,2018-09-01,2018 Q3,2018-2019
10,2018,Hypertension,English,1,273,2018-10-01,2018 Q3,2018-2019
11,2018,Hypertension,English,4,277,2018-11-01,2018 Q3,2018-2019
12,2018,Hypertension,English,2,279,2018-12-01,2018 Q3,2018-2019
02,2019,Hypertension,English,2,281,2019-02-01,2019 Q1,2018-2019
06,2019,Hypertension,English,1,282,2019-06-01,2019 Q2,2018-2019
09,2019,Hypertension,English,1,283,2019-09-01,2019 Q3,2018-2019
01,2020,Hypertension,English,1,284,2020-01-01,2020 Q1,2020-2021
09,2020,Hypertension,English,1,285,2020-09-01,2020 Q3,2020-2021
04,2009,Nash,English,1,1,2009-04-01,2009 Q1,2008-2009
07,2009,Nash,English,1,2,2009-07-01,2009 Q2,2008-2009
09,2009,Nash,English,1,3,2009-09-01,2009 Q3,2008-2009
11,2009,Nash,English,1,4,2009-11-01,2009 Q3,2008-2009
12,2009,Nash,English,1,5,2009-12-01,2009 Q3,2008-2009
04,2010,Nash,English,1,6,2010-04-01,2010 Q1,2010-2011
08,2010,Nash,English,1,7,2010-08-01,2010 Q2,2010-2011
01,2011,Nash,English,1,8,2011-01-01,2011 Q1,2010-2011
02,2012,Nash,English,1,9,2012-02-01,2012 Q1,2012-2013
07,2012,Nash,English,1,10,2012-07-01,2012 Q2,2012-2013
10,2012,Nash,English,1,11,2012-10-01,2012 Q3,2012-2013
12,2012,Nash,English,2,13,2012-12-01,2012 Q3,2012-2013
01,2015,Nash,English,2,15,2015-01-01,2015 Q1,2014-2015
04,2015,Nash,English,1,16,2015-04-01,2015 Q1,2014-2015
06,2015,Nash,English,1,17,2015-06-01,2015 Q2,2014-2015
08,2015,Nash,English,1,18,2015-08-01,2015 Q2,2014-2015
10,2015,Nash,English,1,19,2015-10-01,2015 Q3,2014-2015
06,2016,Nash,English,1,20,2016-06-01,2016 Q2,2016-2017
06,2017,Nash,English,1,21,2017-06-01,2017 Q2,2016-2017
02,2018,Nash,English,1,22,2018-02-01,2018 Q1,2018-2019
03,2018,Nash,English,1,23,2018-03-01,2018 Q1,2018-2019
05,2018,Nash,English,1,24,2018-05-01,2018 Q2,2018-2019
11,2018,Nash,English,2,26,2018-11-01,2018 Q3,2018-2019
12,2018,Nash,English,1,27,2018-12-01,2018 Q3,2018-2019
06,2019,Nash,English,1,28,2019-06-01,2019 Q2,2018-2019
09,2019,Nash,English,1,29,2019-09-01,2019 Q3,2018-2019
02,2020,Nash,English,1,30,2020-02-01,2020 Q1,2020-2021
02,2009,Obesity,English,1,1,2009-02-01,2009 Q1,2008-2009
04,2009,Obesity,English,1,2,2009-04-01,2009 Q1,2008-2009
06,2009,Obesity,English,1,3,2009-06-01,2009 Q2,2008-2009
07,2009,Obesity,English,1,4,2009-07-01,2009 Q2,2008-2009
09,2009,Obesity,English,1,5,2009-09-01,2009 Q3,2008-2009
10,2009,Obesity,English,1,6,2009-10-01,2009 Q3,2008-2009
11,2009,Obesity,English,1,7,2009-11-01,2009 Q3,2008-2009
12,2009,Obesity,English,1,8,2009-12-01,2009 Q3,2008-2009
12,2011,Obesity,English,1,9,2011-12-01,2011 Q3,2010-2011
02,2012,Obesity,English,2,11,2012-02-01,2012 Q1,2012-2013
03,2012,Obesity,English,3,14,2012-03-01,2012 Q1,2012-2013
04,2012,Obesity,English,1,15,2012-04-01,2012 Q1,2012-2013
05,2012,Obesity,English,2,17,2012-05-01,2012 Q2,2012-2013
07,2012,Obesity,English,1,18,2012-07-01,2012 Q2,2012-2013
10,2012,Obesity,English,1,19,2012-10-01,2012 Q3,2012-2013
11,2012,Obesity,English,1,20,2012-11-01,2012 Q3,2012-2013
06,2013,Obesity,English,1,21,2013-06-01,2013 Q2,2012-2013
10,2013,Obesity,English,1,22,2013-10-01,2013 Q3,2012-2013
11,2013,Obesity,English,1,23,2013-11-01,2013 Q3,2012-2013
05,2014,Obesity,English,1,24,2014-05-01,2014 Q2,2014-2015
01,2015,Obesity,English,1,25,2015-01-01,2015 Q1,2014-2015
03,2015,Obesity,English,1,26,2015-03-01,2015 Q1,2014-2015
04,2015,Obesity,English,1,27,2015-04-01,2015 Q1,2014-2015
05,2015,Obesity,English,2,29,2015-05-01,2015 Q2,2014-2015
11,2015,Obesity,English,3,32,2015-11-01,2015 Q3,2014-2015
12,2015,Obesity,English,1,33,2015-12-01,2015 Q3,2014-2015
07,2016,Obesity,English,2,35,2016-07-01,2016 Q2,2016-2017
02,2017,Obesity,English,1,36,2017-02-01,2017 Q1,2016-2017
03,2017,Obesity,English,2,38,2017-03-01,2017 Q1,2016-2017
05,2017,Obesity,English,2,40,2017-05-01,2017 Q2,2016-2017
07,2017,Obesity,English,1,41,2017-07-01,2017 Q2,2016-2017
09,2017,Obesity,English,1,42,2017-09-01,2017 Q3,2016-2017
02,2018,Obesity,English,2,44,2018-02-01,2018 Q1,2018-2019
03,2018,Obesity,English,4,48,2018-03-01,2018 Q1,2018-2019
05,2018,Obesity,English,1,49,2018-05-01,2018 Q2,2018-2019
06,2018,Obesity,English,1,50,2018-06-01,2018 Q2,2018-2019
07,2018,Obesity,English,1,51,2018-07-01,2018 Q2,2018-2019
09,2018,Obesity,English,2,53,2018-09-01,2018 Q3,2018-2019
11,2018,Obesity,English,1,54,2018-11-01,2018 Q3,2018-2019
12,2018,Obesity,English,1,55,2018-12-01,2018 Q3,2018-2019
04,2019,Obesity,English,1,56,2019-04-01,2019 Q1,2018-2019
04,2008,CKD,Ethiopian,1,1,2008-04-01,2008 Q1,2008-2009
11,2008,CKD,Ethiopian,1,2,2008-11-01,2008 Q3,2008-2009
01,2009,CKD,Ethiopian,10,12,2009-01-01,2009 Q1,2008-2009
02,2009,CKD,Ethiopian,11,23,2009-02-01,2009 Q1,2008-2009
03,2009,CKD,Ethiopian,6,29,2009-03-01,2009 Q1,2008-2009
04,2009,CKD,Ethiopian,14,43,2009-04-01,2009 Q1,2008-2009
05,2009,CKD,Ethiopian,18,61,2009-05-01,2009 Q2,2008-2009
06,2009,CKD,Ethiopian,8,69,2009-06-01,2009 Q2,2008-2009
07,2009,CKD,Ethiopian,14,83,2009-07-01,2009 Q2,2008-2009
08,2009,CKD,Ethiopian,14,97,2009-08-01,2009 Q2,2008-2009
09,2009,CKD,Ethiopian,13,110,2009-09-01,2009 Q3,2008-2009
10,2009,CKD,Ethiopian,11,121,2009-10-01,2009 Q3,2008-2009
11,2009,CKD,Ethiopian,11,132,2009-11-01,2009 Q3,2008-2009
12,2009,CKD,Ethiopian,14,146,2009-12-01,2009 Q3,2008-2009
01,2010,CKD,Ethiopian,3,149,2010-01-01,2010 Q1,2010-2011
02,2010,CKD,Ethiopian,2,151,2010-02-01,2010 Q1,2010-2011
03,2010,CKD,Ethiopian,3,154,2010-03-01,2010 Q1,2010-2011
04,2010,CKD,Ethiopian,3,157,2010-04-01,2010 Q1,2010-2011
05,2010,CKD,Ethiopian,3,160,2010-05-01,2010 Q2,2010-2011
09,2010,CKD,Ethiopian,1,161,2010-09-01,2010 Q3,2010-2011
10,2010,CKD,Ethiopian,1,162,2010-10-01,2010 Q3,2010-2011
11,2010,CKD,Ethiopian,2,164,2010-11-01,2010 Q3,2010-2011
12,2010,CKD,Ethiopian,2,166,2010-12-01,2010 Q3,2010-2011
01,2011,CKD,Ethiopian,3,169,2011-01-01,2011 Q1,2010-2011
02,2011,CKD,Ethiopian,1,170,2011-02-01,2011 Q1,2010-2011
03,2011,CKD,Ethiopian,2,172,2011-03-01,2011 Q1,2010-2011
04,2011,CKD,Ethiopian,1,173,2011-04-01,2011 Q1,2010-2011
05,2011,CKD,Ethiopian,1,174,2011-05-01,2011 Q2,2010-2011
07,2011,CKD,Ethiopian,1,175,2011-07-01,2011 Q2,2010-2011
10,2011,CKD,Ethiopian,1,176,2011-10-01,2011 Q3,2010-2011
11,2011,CKD,Ethiopian,3,179,2011-11-01,2011 Q3,2010-2011
01,2012,CKD,Ethiopian,3,182,2012-01-01,2012 Q1,2012-2013
02,2012,CKD,Ethiopian,6,188,2012-02-01,2012 Q1,2012-2013
03,2012,CKD,Ethiopian,3,191,2012-03-01,2012 Q1,2012-2013
04,2012,CKD,Ethiopian,12,203,2012-04-01,2012 Q1,2012-2013
05,2012,CKD,Ethiopian,10,213,2012-05-01,2012 Q2,2012-2013
06,2012,CKD,Ethiopian,7,220,2012-06-01,2012 Q2,2012-2013
07,2012,CKD,Ethiopian,8,228,2012-07-01,2012 Q2,2012-2013
08,2012,CKD,Ethiopian,5,233,2012-08-01,2012 Q2,2012-2013
09,2012,CKD,Ethiopian,8,241,2012-09-01,2012 Q3,2012-2013
10,2012,CKD,Ethiopian,5,246,2012-10-01,2012 Q3,2012-2013
11,2012,CKD,Ethiopian,3,249,2012-11-01,2012 Q3,2012-2013
12,2012,CKD,Ethiopian,7,256,2012-12-01,2012 Q3,2012-2013
01,2013,CKD,Ethiopian,1,257,2013-01-01,2013 Q1,2012-2013
02,2013,CKD,Ethiopian,1,258,2013-02-01,2013 Q1,2012-2013
03,2013,CKD,Ethiopian,1,259,2013-03-01,2013 Q1,2012-2013
04,2013,CKD,Ethiopian,1,260,2013-04-01,2013 Q1,2012-2013
05,2013,CKD,Ethiopian,2,262,2013-05-01,2013 Q2,2012-2013
06,2013,CKD,Ethiopian,3,265,2013-06-01,2013 Q2,2012-2013
07,2013,CKD,Ethiopian,3,268,2013-07-01,2013 Q2,2012-2013
09,2013,CKD,Ethiopian,2,270,2013-09-01,2013 Q3,2012-2013
12,2013,CKD,Ethiopian,1,271,2013-12-01,2013 Q3,2012-2013
02,2014,CKD,Ethiopian,3,274,2014-02-01,2014 Q1,2014-2015
03,2014,CKD,Ethiopian,1,275,2014-03-01,2014 Q1,2014-2015
05,2014,CKD,Ethiopian,1,276,2014-05-01,2014 Q2,2014-2015
07,2014,CKD,Ethiopian,2,278,2014-07-01,2014 Q2,2014-2015
08,2014,CKD,Ethiopian,2,280,2014-08-01,2014 Q2,2014-2015
09,2014,CKD,Ethiopian,2,282,2014-09-01,2014 Q3,2014-2015
10,2014,CKD,Ethiopian,1,283,2014-10-01,2014 Q3,2014-2015
11,2014,CKD,Ethiopian,2,285,2014-11-01,2014 Q3,2014-2015
12,2014,CKD,Ethiopian,1,286,2014-12-01,2014 Q3,2014-2015
01,2015,CKD,Ethiopian,7,293,2015-01-01,2015 Q1,2014-2015
02,2015,CKD,Ethiopian,5,298,2015-02-01,2015 Q1,2014-2015
03,2015,CKD,Ethiopian,5,303,2015-03-01,2015 Q1,2014-2015
04,2015,CKD,Ethiopian,8,311,2015-04-01,2015 Q1,2014-2015
05,2015,CKD,Ethiopian,8,319,2015-05-01,2015 Q2,2014-2015
06,2015,CKD,Ethiopian,12,331,2015-06-01,2015 Q2,2014-2015
07,2015,CKD,Ethiopian,21,352,2015-07-01,2015 Q2,2014-2015
08,2015,CKD,Ethiopian,10,362,2015-08-01,2015 Q2,2014-2015
09,2015,CKD,Ethiopian,7,369,2015-09-01,2015 Q3,2014-2015
10,2015,CKD,Ethiopian,16,385,2015-10-01,2015 Q3,2014-2015
11,2015,CKD,Ethiopian,11,396,2015-11-01,2015 Q3,2014-2015
12,2015,CKD,Ethiopian,12,408,2015-12-01,2015 Q3,2014-2015
01,2016,CKD,Ethiopian,2,410,2016-01-01,2016 Q1,2016-2017
02,2016,CKD,Ethiopian,1,411,2016-02-01,2016 Q1,2016-2017
03,2016,CKD,Ethiopian,1,412,2016-03-01,2016 Q1,2016-2017
04,2016,CKD,Ethiopian,1,413,2016-04-01,2016 Q1,2016-2017
06,2016,CKD,Ethiopian,1,414,2016-06-01,2016 Q2,2016-2017
08,2016,CKD,Ethiopian,1,415,2016-08-01,2016 Q2,2016-2017
09,2016,CKD,Ethiopian,5,420,2016-09-01,2016 Q3,2016-2017
01,2017,CKD,Ethiopian,2,422,2017-01-01,2017 Q1,2016-2017
07,2017,CKD,Ethiopian,1,423,2017-07-01,2017 Q2,2016-2017
09,2017,CKD,Ethiopian,5,428,2017-09-01,2017 Q3,2016-2017
10,2017,CKD,Ethiopian,4,432,2017-10-01,2017 Q3,2016-2017
01,2018,CKD,Ethiopian,10,442,2018-01-01,2018 Q1,2018-2019
02,2018,CKD,Ethiopian,7,449,2018-02-01,2018 Q1,2018-2019
03,2018,CKD,Ethiopian,9,458,2018-03-01,2018 Q1,2018-2019
04,2018,CKD,Ethiopian,7,465,2018-04-01,2018 Q1,2018-2019
05,2018,CKD,Ethiopian,11,476,2018-05-01,2018 Q2,2018-2019
06,2018,CKD,Ethiopian,10,486,2018-06-01,2018 Q2,2018-2019
07,2018,CKD,Ethiopian,9,495,2018-07-01,2018 Q2,2018-2019
08,2018,CKD,Ethiopian,8,503,2018-08-01,2018 Q2,2018-2019
09,2018,CKD,Ethiopian,9,512,2018-09-01,2018 Q3,2018-2019
10,2018,CKD,Ethiopian,11,523,2018-10-01,2018 Q3,2018-2019
11,2018,CKD,Ethiopian,8,531,2018-11-01,2018 Q3,2018-2019
12,2018,CKD,Ethiopian,7,538,2018-12-01,2018 Q3,2018-2019
02,2019,CKD,Ethiopian,2,540,2019-02-01,2019 Q1,2018-2019
03,2019,CKD,Ethiopian,1,541,2019-03-01,2019 Q1,2018-2019
05,2019,CKD,Ethiopian,2,543,2019-05-01,2019 Q2,2018-2019
06,2019,CKD,Ethiopian,1,544,2019-06-01,2019 Q2,2018-2019
07,2019,CKD,Ethiopian,2,546,2019-07-01,2019 Q2,2018-2019
08,2019,CKD,Ethiopian,3,549,2019-08-01,2019 Q2,2018-2019
09,2019,CKD,Ethiopian,2,551,2019-09-01,2019 Q3,2018-2019
11,2019,CKD,Ethiopian,1,552,2019-11-01,2019 Q3,2018-2019
12,2019,CKD,Ethiopian,1,553,2019-12-01,2019 Q3,2018-2019
04,2020,CKD,Ethiopian,1,554,2020-04-01,2020 Q1,2020-2021
06,2020,CKD,Ethiopian,1,555,2020-06-01,2020 Q2,2020-2021
07,2020,CKD,Ethiopian,3,558,2020-07-01,2020 Q2,2020-2021
11,2020,CKD,Ethiopian,1,559,2020-11-01,2020 Q3,2020-2021
02,2021,CKD,Ethiopian,1,560,2021-02-01,2021 Q1,2020-2021
03,2021,CKD,Ethiopian,1,561,2021-03-01,2021 Q1,2020-2021
06,2021,CKD,Ethiopian,1,562,2021-06-01,2021 Q2,2020-2021
11,2008,Diabetes,Ethiopian,1,1,2008-11-01,2008 Q3,2008-2009
01,2009,Diabetes,Ethiopian,9,10,2009-01-01,2009 Q1,2008-2009
02,2009,Diabetes,Ethiopian,6,16,2009-02-01,2009 Q1,2008-2009
03,2009,Diabetes,Ethiopian,9,25,2009-03-01,2009 Q1,2008-2009
04,2009,Diabetes,Ethiopian,12,37,2009-04-01,2009 Q1,2008-2009
05,2009,Diabetes,Ethiopian,9,46,2009-05-01,2009 Q2,2008-2009
06,2009,Diabetes,Ethiopian,13,59,2009-06-01,2009 Q2,2008-2009
